German,Turkish
abholen,alıp getirmek-karşılamak
aufpassen,bakmak
der Ausgang,Çıkış-Sonuç
die Auskunft,Bilgi
austragen,dağıtmak
bedeuten,anlama gelmek
bekommen,almak-elde etmek
beraten,akıl vermek
bestehen,gecmek-kazanmak-var olmak
bestellen,işlemek-sürmek-ekmek
die Bohne,Fasulye
base,fena
draussen,dışarıda
druben,öbür tarafta
egal,aynı
eilig,acele
einverstanden sein,bir şeye razı olmak
einziehen,tahsil etmek
empfehlen,tavsiye etmek
sich erinnern, bir şeyi hatırlamak
erlauben,izin vermek
erzahlen,anlatmak
das Fach,Bölme-Göz
fremd,yabancı
die Führung,Yönetim
das Gehalt,İçerik
gültig sein,geçmek
günstig,uygun
herstellen,buraya koymak-yapmak-üretmek
klar,aydınlık
klug,akıllı
der Koffer,Valiz
die Krankheit,Hastalık
die Kreuzung,Dörtyol ağzı
kriegen,almak-elde etmek
die Kunst,Sanat
lassen,bırakmak
leihen,ödünç vermek
liefern,teslim etmek
die Lust,İstek-Arzu
die Menge,Miktar
meinen,sanmak-zannetmek
das Messer,Bıçak
die Mode,Moda
möglich,mümkün
der Mund,Ağız
neblig,sisli
notwendig,zorunlu-gerekli
passen,uymak
plötzlich,ani
rechnen,hesap etmek
der Reifen,Çember
die Reihe,Dizi-Sıra
die Reinigung,Temizleme
der Rundgang,Dolaşma
sammeln,toplamak-derlemek
schadlich,zararlı
scharf,keskin-baharatlı
die Schere,Makas
das Schiff,Gemi
schicken,göndermek-yollamak
schimpfen,azarlamak-çıkışmak
schmutzig,kirli-pis
schriftlich,yazılı
schwach,zayıf
schwanger,hamile
die Sendung,Program
sofort,derhal
soger,hatta
der Spaziergang,(Yaya)Gezinti
die Stelle,Konum-Yer
stattfinden,olmak-gerçekleşmek
der Stiefel,Çizme
der Strand,Sahil
stören,rahatsız etmek
der Teller,Tabak
austauschen,değiş tokuş
teilen,ayırmak-bölmek
teilnehmen,katılmak
toll,kaçık-çılgın
der Topf,Çanak-Çömlek
sich treffen,karşılaşmak
die Übersetzung,Çeviri
überweisen,havale etmek
umziehen,taşınmak
unbedingt,kayıtsız şartsız
sich unterhalten,sohbet etmek
